price,title,url
"Rs 8,500",Adil electronics,https://www.olx.com.pk/item/adil-electronics-IDV6GtM.html
"Rs 30,000",Toshiba Brand New Laptop,https://www.olx.com.pk/item/toshiba-brand-new-laptop-IDV6Nqj.html
"Rs 1,500",Hdmi Switch 5 Port 2k/4k,https://www.olx.com.pk/item/hdmi-switch-5-port-2k-4k-IDWq3sL.html
"Rs 19,000",Dell Inspiron core i 7 model 7566 laptop 16 GB ram,https://www.olx.com.pk/item/dell-inspiron-core-i-7-model-7566-laptop-16-gb-ram-IDV6Nq9.html
"Rs 25,000",School college university office home,https://www.olx.com.pk/item/school-college-university-office-home-IDWWyJb.html
"Rs 4,000",Samsung lcd for sale.,https://www.olx.com.pk/item/samsung-lcd-for-sale-IDV4YT1.html
Rs 999,CM Eagle Cheap Price CPU Cooler – Original Photos,https://www.olx.com.pk/item/cm-eagle-cheap-price-cpu-cooler-original-photos-IDTC8XL.html
"Rs 4,000",Corsair CX-500 Gaming Power Supply,https://www.olx.com.pk/item/corsair-cx-500-gaming-power-supply-IDWfEwv.html
"Rs 2,000",Asus Display Card - 512MB PCIe,https://www.olx.com.pk/item/asus-display-card-512mb-pcie-IDSfAP5.html
"Rs 25,000",Projector point,https://www.olx.com.pk/item/projector-point-IDWTyX2.html
"Rs 24,000",Dell inspiron core i7 Laptop Ram 16GB SSHD Hard Drive ° Warranty ° DVD,https://www.olx.com.pk/item/dell-inspiron-core-i7-laptop-ram-16gb-sshd-hard-drive-warranty-dvd-IDV6HP6.html
"Rs 4,000",Viewsonic perfect Lcd with speakers hdmi to vga cable with it,https://www.olx.com.pk/item/viewsonic-perfect-lcd-with-speakers-hdmi-to-vga-cable-with-it-IDV6Nr2.html
"Rs 2,000",Hitachi 500gb Hard disk,https://www.olx.com.pk/item/hitachi-500gb-hard-disk-IDWiSVJ.html
"Rs 3,500",GX550 550Watt Gaming PSU,https://www.olx.com.pk/item/gx550-550watt-gaming-psu-IDWG21I.html
"Rs 3,000",Vinyl LP - Elvis,https://www.olx.com.pk/item/vinyl-lp-elvis-IDV6Ney.html
"Rs 2,000",Silver&Black Promedia Mid-Tower Casing [1 thing],https://www.olx.com.pk/item/silver-black-promedia-mid-tower-casing-1-thing-IDWp6Qd.html
"Rs 4,700",Monster Hunter Exxng with farcry 5,https://www.olx.com.pk/item/monster-hunter-exxng-with-farcry-5-IDWZGPS.html
"Rs 4,900",Farcry 5 ps4,https://www.olx.com.pk/item/farcry-5-ps4-IDV6MZH.html
"Rs 18,000",Panasonic bass pair and Kenwood japani speakers,https://www.olx.com.pk/item/panasonic-bass-pair-and-kenwood-japani-speakers-IDWEU1H.html
"Rs 8,000",3 playstation for sale in reasonable price,https://www.olx.com.pk/item/3-playstation-for-sale-in-reasonable-price-IDWTSnE.html
"Rs 5,400",GOD OF WAR NOT Exchng Offer Only Cash,https://www.olx.com.pk/item/god-of-war-not-exchng-offer-only-cash-IDV2kty.html
"Rs 31,000",Ps4 Slim Box Packed 1Year Warantee Got Unwanted Gift From UK Region 2,https://www.olx.com.pk/item/ps4-slim-box-packed-1year-warantee-got-unwanted-gift-from-uk-region-2-IDV6N1j.html
"Rs 3,600",Tekken 7 for ps4,https://www.olx.com.pk/item/tekken-7-for-ps4-IDV6N1D.html
"Rs 1,500",Nintendo Wii Game,https://www.olx.com.pk/item/nintendo-wii-game-IDV6N6H.html
"Rs 12,000",Hover Board wheel balancer,https://www.olx.com.pk/item/hover-board-wheel-balancer-IDV6MYD.html
"Rs 6,000",Plysthn for sale,https://www.olx.com.pk/item/plysthn-for-sale-IDV6N7a.html
"Rs 12,000",Beats Solo 3 headphones,https://www.olx.com.pk/item/beats-solo-3-headphones-IDV6N7u.html
Rs 100,Ps3 games withput delet ypur previous games any model super ultra slim,https://www.olx.com.pk/item/ps3-games-withput-delet-ypur-previous-games-any-model-super-ultra-slim-IDV6N72.html
"Rs 1,500",PlayStation 2 original games pack 3 cds,https://www.olx.com.pk/item/playstation-2-original-games-pack-3-cds-IDWVZMd.html
"Rs 10,500",Playstation 3 80gb non jailbreak,https://www.olx.com.pk/item/playstation-3-80gb-non-jailbreak-IDV57vW.html
"Rs 20,000",Sony PS4 500gb matte black,https://www.olx.com.pk/item/sony-ps4-500gb-matte-black-IDV6N8B.html
"Rs 3,400",Official Sony PS4 Wireless Charging Mat,https://www.olx.com.pk/item/official-sony-ps4-wireless-charging-mat-IDWyM8E.html
"Rs 1,900",Xbox 360 headset for live chat,https://www.olx.com.pk/item/xbox-360-headset-for-live-chat-IDV2dQ3.html
"Rs 1,500",Nintendo Wii original 2 games & 1 PS2 original game.,https://www.olx.com.pk/item/nintendo-wii-original-2-games-1-ps2-original-game-IDV6JA2.html
"Rs 1,500","XBOX 360 Power Supply (12V, 16.5A)",https://www.olx.com.pk/item/xbox-360-power-supply-12v-16-5a-IDV6qeJ.html
"Rs 1,500",Destiny ps4,https://www.olx.com.pk/item/destiny-ps4-IDV6qbp.html
"Rs 2,500",Ps3 Games For Sale,https://www.olx.com.pk/item/ps3-games-for-sale-IDV6q7M.html
"Rs 2,500",Watch dogs 2,https://www.olx.com.pk/item/watch-dogs-2-IDV6qaA.html
"Rs 3,000",Dishonored 2 ps4,https://www.olx.com.pk/item/dishonored-2-ps4-IDV6Nbd.html
"Rs 2,500",Dark souls 3 bandai namco playstation 4 pro ps4 sony 4k games uhd hdr,https://www.olx.com.pk/item/dark-souls-3-bandai-namco-playstation-4-pro-ps4-sony-4k-games-uhd-hdr-IDWYQsr.html
"Rs 1,700","Assassins Creed Unity , Ubisoft , Playstation 4 Pro ps4 Sony 4k games",https://www.olx.com.pk/item/assassins-creed-unity-ubisoft-playstation-4-pro-ps4-sony-4k-games-IDWYLj3.html
"Rs 5,300",Turtle Beach Recon 50X Headset,https://www.olx.com.pk/item/turtle-beach-recon-50x-headset-IDV2Nj1.html
"Rs 2,200",The witcher 3 wild hunt ps4,https://www.olx.com.pk/item/the-witcher-3-wild-hunt-ps4-IDV6NbP.html
"Rs 3,000",Stearing wheel and padels.,https://www.olx.com.pk/item/stearing-wheel-and-padels-IDV6NbR.html
"Rs 2,200",Skyrim elder scrolls bethesda playstation 4 pro ps4 sony 4k games hdr,https://www.olx.com.pk/item/skyrim-elder-scrolls-bethesda-playstation-4-pro-ps4-sony-4k-games-hdr-IDWYQp2.html
"Rs 1,400",Fifa 17 ea sports playstation 4 pro 4k games sony ps4 best graphics,https://www.olx.com.pk/item/fifa-17-ea-sports-playstation-4-pro-4k-games-sony-ps4-best-graphics-IDV3ypB.html
"Rs 1,400","Fallout 4 bethesda , Playstation 4 pro ps4 4k games sony fo4",https://www.olx.com.pk/item/fallout-4-bethesda-playstation-4-pro-ps4-4k-games-sony-fo4-IDWYQhc.html
"Rs 3,200",Stearing wheel and padels.,https://www.olx.com.pk/item/stearing-wheel-and-padels-IDV6Nc2.html
"Rs 1,800",Assetto corsa 505 games playstation 4 pro ps4 4k games sony uhd hdr,https://www.olx.com.pk/item/assetto-corsa-505-games-playstation-4-pro-ps4-4k-games-sony-uhd-hdr-IDWYQi8.html
